NAME, WKID
150_Kilometers,109031
50_Kilometers,109030
Centimeter,1033
Chain,9097
Chain_Benoit_1895_A,9052
Chain_Benoit_1895_B,9062
Chain_Clarke,9038
Chain_Sears,9042
Chain_Sears_1922_Truncated,9301
Chain_US,9033
Decimeter,109005
Fathom,9014
Foot,9002
Foot_1865,9070
Foot_Benoit_1895_A,9051
Foot_Benoit_1895_B,9061
Foot_British_1936,9095
Foot_Clarke,9005
Foot_Gold_Coast,9094
Foot_Indian,9080
Foot_Indian_1937,9081
Foot_Indian_1962,9082
Foot_Indian_1975,9083
Foot_Sears,9041
Foot_Sears_1922_Truncated,9300
Foot_US,9003
Inch,109008
Inch_US,109009
Kilometer,9036
Link,9098
Link_Benoit_1895_A,9053
Link_Benoit_1895_B,9063
Link_Clarke,9039
Link_Sears,9043
Link_Sears_1922_Truncated,9302
Link_US,9034
Meter,9001
Meter_German,9031
Micrometer,109017
Mile_US,9035
Millimeter,1025
Nanometer,109018
Nautical_Mile,9030
Nautical_Mile_UK,109013
Nautical_Mile_US,109012
Point,109016
Rod,109010
Rod_US,109011
Smoot,109014
Statute_Mile,9093
Vara_TX,109015
Yard,9096
Yard_Benoit_1895_A,9050
Yard_Benoit_1895_B,9060
Yard_Clarke,9037
Yard_Indian,9084
Yard_Indian_1937,9085
Yard_Indian_1962,9086
Yard_Indian_1975,9087
Yard_Sears,9040
Yard_Sears_1922_Truncated,9099
Yard_US,109002
Abidjan_1987_TM_5_NW,2165
Abidjan_1987_UTM_Zone_29N,2043
Abidjan_1987_UTM_Zone_30N,2041
AbInvA96_2020_Grid,9387
Accra_Ghana_Grid,2136
Accra_TM_1_NW,2137
Adindan_UTM_Zone_35N,20135
Adindan_UTM_Zone_36N,20136
Adindan_UTM_Zone_37N,20137
Adindan_UTM_Zone_38N,20138
Afgooye_UTM_Zone_38N,20538
Afgooye_UTM_Zone_39N,20539
Africa_Albers_Equal_Area_Conic,102022
Africa_Equidistant_Conic,102023
Africa_Lambert_Conformal_Conic,102024
Africa_Sinusoidal,102011
AGD_1966_ACT_Grid_AGC_Zone,102071
AGD_1966_ACT_Standard_Grid,5825
AGD_1966_AMG_Zone_49,20249
AGD_1966_AMG_Zone_50,20250
AGD_1966_AMG_Zone_51,20251
AGD_1966_AMG_Zone_52,20252
AGD_1966_AMG_Zone_53,20253
AGD_1966_AMG_Zone_54,20254
AGD_1966_AMG_Zone_55,20255
AGD_1966_AMG_Zone_56,20256
AGD_1966_AMG_Zone_57,20257
AGD_1966_AMG_Zone_58,20258
AGD_1966_ISG_54_2,102072
AGD_1966_ISG_54_3,102073
AGD_1966_ISG_55_1,102074
AGD_1966_ISG_55_2,102075
AGD_1966_ISG_55_3,102076
AGD_1966_ISG_56_1,102077
AGD_1966_ISG_56_2,102078
AGD_1966_ISG_56_3,102079
AGD_1966_ISG_57_2,102961
AGD_1966_VICGRID,3110
AGD_1984_AMG_Zone_49,20349
AGD_1984_AMG_Zone_50,20350
AGD_1984_AMG_Zone_51,20351
AGD_1984_AMG_Zone_52,20352
AGD_1984_AMG_Zone_53,20353
AGD_1984_AMG_Zone_54,20354
AGD_1984_AMG_Zone_55,20355
AGD_1984_AMG_Zone_56,20356
Ain_el_Abd_1970_Aramco_Lambert_2,102204
Ain_el_Abd_Aramco_Lambert,2318
Ain_el_Abd_UTM_Zone_36N,20436
Ain_el_Abd_UTM_Zone_37N,20437
Ain_el_Abd_UTM_Zone_38N,20438
Ain_el_Abd_UTM_Zone_39N,20439
Ain_el_Abd_UTM_Zone_40N,20440
Albanian_1987_GK_Zone_4,2462
